,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot
5763,Micromax,X099,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,No,No,2013. Released 2013,Discontinued,109 x 46 x 14.8 mm (4.29 x 1.81 x 0.58 in),-,Dual SIM,TFT,"1.77 inches, 9.9 cm (~19.7% screen-to-body ratio)",128 x 160 pixels (~116 ppi density),,"microSD, up to 4 GB (dedicated slot)"
5764,Micromax,GC333,GSM / CDMA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,No,2013. Released 2013,Discontinued,-,-,Dual SIM,TFT,"2.2 inches, 15.2 cm",176 x 220 pixels (~128 ppi density),,"microSD, up to 4 GB (dedicated slot)"
5765,Micromax,X396,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,,2013. Released 2013,Discontinued,112 x 60 x 11.1 mm (4.41 x 2.36 x 0.44 in),-,Dual SIM (Mini-SIM),TFT touchscreen,"3.2 inches, 31.7 cm (~47.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~125 ppi density)",,"microSD, up to 16 GB (dedicated slot)"
5766,Micromax,X335C,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 12,Class 12,2013. Released 2013,Discontinued,104 x 57 x 13.3 mm (4.09 x 2.24 x 0.52 in),92 g (3.25 oz),Dual SIM (Mini-SIM),"TFT touchscreen, 256K colors","2.8 inches, 24.3 cm (~41.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",,"microSD, up to 4 GB (dedicated slot)"
5767,Micromax,A111 Canvas Doodle,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,Yes,Yes,"2013, May. Released 2013, May",Discontinued,147 x 76.5 x 9.7 mm (5.79 x 3.01 x 0.38 in),168 g (5.93 oz),Dual SIM (Mini-SIM),"Capacitive touchscreen, 16M colors","5.3 inches, 77.4 cm (~68.8% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~185 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5768,Micromax,Funbook 3G P600,GSM / HSPA,GSM 900 / 1800,Class 12,Class 12,"2013, March. Released 2013, March",Discontinued,193.5 x 119.5 x 11.5 mm (7.62 x 4.70 x 0.45 in),370 g (13.05 oz),Yes,TFT capacitive touchscreen,"7.0 inches, 139.5 cm (~60.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5769,Micromax,Funbook 3G P560,GSM / HSPA,GSM 900 / 1800,Yes,Yes,"2013, March. Released 2013, March",Discontinued,-,323 g (11.39 oz),Yes,TFT capacitive touchscreen,"7.0 inches, 139.5 cm","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5770,Micromax,Funbook Talk P362,GSM,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, February. Released 2013, February",Discontinued,194 x 125 x 11 mm (7.64 x 4.92 x 0.43 in),-,Yes,TFT capacitive touchscreen,"7.0 inches, 139.5 cm (~57.5% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5771,Micromax,Funbook Talk P360,GSM,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2013, February. Released 2013, February",Discontinued,-,-,Yes,TFT capacitive touchscreen,"7.0 inches, 139.5 cm","480 x 800 pixels, 5:3 ratio (~133 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
5772,Micromax,Viva A72,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,Class 10,Class 12,"2013, April. Released 2013, April",Discontinued,142.8 x 76 x 10.6 mm (5.62 x 2.99 x 0.42 in),186 g (6.56 oz),Dual SIM,TFT touchscreen,"5.0 inches, 71.2 cm (~65.6% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~187 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
