,oem,model,network_technology,network_2g_bands,network_gprs,network_edge,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,display,memory_card_slot
1813,alcatel,U5 HD,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2017, August","Available. Released 2017, August",141.8 x 71.4 x 9 mm (5.58 x 2.81 x 0.35 in),129 g (4.55 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 128 GB"
1814,alcatel,Pulsemix,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2017, August","Available. Released 2017, August",146.1 x 71.9 x 7.9 mm (5.75 x 2.83 x 0.31 in),145.7 (5.15 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~71.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"microSD, up to 128 GB"
1815,alcatel,Idol 5s (USA),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2017, June","Available. Released 2017, July",148.6 x 70.9 x 7.4 mm (5.85 x 2.79 x 0.29 in),148.8 g (5.26 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~70.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,"microSD, up to 256 GB"
1816,alcatel,Flash (2017),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, April","Available. Released 2017, May",152.6 x 75.4 x 8.7 mm (6.01 x 2.97 x 0.34 in),155 g (5.47 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 256 GB"
1817,alcatel,U5,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2017, February","Available. Released 2017, July",140.7 x 71.8 x 10 mm (5.54 x 2.83 x 0.39 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB"
1818,alcatel,A5 LED,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2017, February","Available. Released 2017, June",146 x 72.1 x 7.7 mm (5.75 x 2.84 x 0.30 in),-,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~70.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",,"microSD, up to 32 GB"
1819,alcatel,A3,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, February","Available. Released 2017, July",142 x 70.5 x 8.6 mm (5.59 x 2.78 x 0.34 in),-,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB"
1820,alcatel,A3 XL,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2017, January","Available. Released 2017, July",165 x 82.5 x 7.9 mm (6.50 x 3.25 x 0.31 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS FL LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm (~72.9% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1821,alcatel,Shine Lite,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, September","Available. Released 2016, October",141.5 x 71.2 x 7.5 mm (5.57 x 2.80 x 0.30 in),156 g (5.50 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB"
1822,alcatel,Pixi 4 Plus Power,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, September","Available. Released 2016, October",152 x 78.3 x 9.9 mm (5.98 x 3.08 x 0.39 in),202 g (7.13 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~70.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1823,alcatel,Fierce 4,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, August","Available. Released 2016, August",150.9 x 77 x 8.1 mm (5.94 x 3.03 x 0.32 in),163.9 g (5.78 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 256 GB (dedicated slot)"
1824,alcatel,X1,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, December","Available. Released 2016, June",145 x 69.2 x 7 mm (5.71 x 2.72 x 0.28 in),140 g (4.94 oz),"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB"
1825,alcatel,Pixi 4 (5),GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, June","Available. Released 2016, June",140.7 x 72.7 x 9.5 mm (5.54 x 2.86 x 0.37 in),148 g (5.22 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1826,alcatel,Flash Plus 2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, May","Available. Released 2016, May",152.6 x 76.4 x 8.2 mm (6.01 x 3.01 x 0.32 in),157g (5.54 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 256 GB (dedicated slot)"
1827,alcatel,Pop 4S,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, February","Available. Released 2016, Q3",152 x 77 x 7.9 mm (5.98 x 3.03 x 0.31 in),-,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 64 GB (dedicated slot)"
1828,alcatel,Pop 4+,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, February","Available. Released 2016, Q3",151 x 77 x 8 mm (5.94 x 3.03 x 0.31 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1829,alcatel,Pop 4,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, February","Available. Released 2016, Q3",140.7 x 71.4 x 8 mm (5.54 x 2.81 x 0.31 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (dedicated slot)"
1830,alcatel,Idol 4s Windows,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, Q3","Available. Released 2016, Q3",153.9 x 75.4 x 7 mm (6.06 x 2.97 x 0.28 in),152 g (5.36 oz),Nano-SIM,"AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 512 GB (dedicated slot)"
1831,alcatel,Idol 4s,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),Yes,Yes,"2016, February","Available. Released 2016, July",153.9 x 75.4 x 7 mm (6.06 x 2.97 x 0.28 in),149 g (5.26 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by) - 6070K","AMOLED capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.9% screen-to-body ratio)","1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)"
1832,alcatel,Idol 4,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),Yes,Yes,"2016, February","Available. Released 2016, June",147 x 72.5 x 7.1 mm (5.79 x 2.85 x 0.28 in),135 g (4.76 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by) - 6055K, 6055I","LTPS IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm (~69.9% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",,"microSD, up to 256 GB (uses shared SIM slot)"
1833,alcatel,Fierce XL (Windows),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, January","Available. Released 2016, February",151.9 x 77.8 x 9.5 mm (5.98 x 3.06 x 0.37 in),174 g (6.14 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1834,alcatel,CareTime,GSM,GSM 900 / 1800,Yes,No,"2016, January","Available. Released 2016, Q3",40 x 40 x 15.8 mm (1.57 x 1.57 x 0.62 in),-,Pre-installed,OLED (single white color),"0.95 inches, 2.7 cm (~16.8% screen-to-body ratio)","96 x 64 pixels, 3:2 ratio (~121 ppi density)",,No
1835,alcatel,Pixi 4 (7),GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, January","Available. Released 2016, Q3",189.2 x 107.6 x 9.2 mm (7.45 x 4.24 x 0.36 in),-,Micro-SIM,"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm (~67.7% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1836,alcatel,Pixi 4 (6) 3G,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2016, June","Available. Released 2016, June",168.5 x 86.4 x 8 mm (6.63 x 3.40 x 0.31 in),179 g (6.31 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm (~68.2% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~184 ppi density)",,"microSD, up to 64 GB (dedicated slot)"
1837,alcatel,Pixi 4 (6),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),Yes,Yes,"2016, January","Available. Released 2016, June",165 x 83.8 x 8.3 mm (6.50 x 3.30 x 0.33 in),-,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm (~71.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~245 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1838,alcatel,Pixi 4 (4),GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, January","Available. Released 2016, Q3",121.3 x 64.4 x 9.7 mm (4.78 x 2.54 x 0.38 in),-,Micro-SIM,"TFT capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~58.3% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1839,alcatel,Pixi 4 (3.5),GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, January","Available. Released 2016, Q3",116 x 62 x 10 mm (4.57 x 2.44 x 0.39 in),-,Micro-SIM,"TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm (~50.7% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1840,alcatel,Pixi 3 (8) LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2016, February",Available,209 x 124.9 x 8.3 mm (8.23 x 4.92 x 0.33 in),-,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","8.0 inches, 185.6 cm (~71.1% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1841,alcatel,Pop 3 (5.5),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2016, February","Available. Released 2016, April",151.9 x 77.8 x 9.5 mm (5.98 x 3.06 x 0.37 in),174 g (6.14 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 256 GB (dedicated slot)"
1842,alcatel,Pop 3 (5),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, Q4","Available. Released 2015, Q4",141 x 71.5 x 9.9 mm (5.55 x 2.81 x 0.39 in),167 g (5.89 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32/256 GB (dedicated slot)"
1843,alcatel,Fierce XL,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Class 33,Class 33,"2015, October","Available. Released 2015, November",151.9 x 77.8 x 9.5 mm (5.98 x 3.06 x 0.37 in),173 g (6.10 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~70.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1844,alcatel,Watch,No cellular connectivity,,No,No,"2015, September","Available. Released 2015, September",41.8 x 41.8 x 10.5 mm (1.65 x 1.65 x 0.41 in),-,No,"IPS LCD capacitive touchscreen, 256K colors","1.22 inches, 4.7 cm (~27.1% screen-to-body ratio)",240 x 204 pixels (~258 ppi density),,No
1845,alcatel,GO Watch,No cellular connectivity,,No,No,"2015, September","Available. Released 2015, September",50.5 x 50.5 x 13 mm (1.99 x 1.99 x 0.51 in),-,No,"Capacitive touchscreen, 256K colors","1.22 inches, 4.7 cm (~18.6% screen-to-body ratio)",240 x 204 pixels (~258 ppi density),,No
1846,alcatel,Flash 2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, September","Available. Released 2015, September",145.8 x 70.4 x 9 mm (5.74 x 2.77 x 0.35 in),140 g (4.94 oz),"Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 256 GB (dedicated slot)"
1847,alcatel,10.16G,GSM,GSM 850 / 900 / 1800 / 1900,Yes,No,2015. Released 2015,Discontinued,108.5 x 45 x 12.6 mm (4.27 x 1.77 x 0.50 in),63 g (2.22 oz),Mini-SIM,TFT,"1.8 inches, 10.2 cm (~20.9% screen-to-body ratio)",128 x 160 pixels,,No
1848,alcatel,2007,GSM,GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only),Yes,No,2015,Available. Released 2015,119 x 50 x 9.8 mm (4.69 x 1.97 x 0.39 in),72 g (2.54 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT, 256K colors","2.4 inches, 17.8 cm (~30.0% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~167 ppi density)",,No
1849,alcatel,Idol 3C,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, September","Available. Released 2015, Q4",152.7 x 75.1 x 7.9 mm (6.01 x 2.96 x 0.31 in),-,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 256 GB (dedicated slot)"
1850,alcatel,Pixi 3 (10),No cellular connectivity,,No,No,"2015, September","Available. Released 2015, Q4",255.5 x 155 x 9.5 mm (10.06 x 6.10 x 0.37 in),-,No,"IPS LCD capacitive touchscreen, 16M colors","10.1 inches, 295.8 cm (~74.7% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~149 ppi density)",,"microSD, up to 64 GB (dedicated slot)"
1851,alcatel,Pixi First,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, Q4",122.1 x 64.4 x 9.7 mm (4.81 x 2.54 x 0.38 in),-,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","4.0 inches, 45.5 cm (~57.9% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1852,alcatel,Pop Up,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, September","Available. Released 2015, Q4",143 x 71.9 x 8.2 mm (5.63 x 2.83 x 0.32 in),-,"Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1853,alcatel,Pop Star LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, Q4",142.5 x 71.5 x 8.6 mm (5.61 x 2.81 x 0.34 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~67.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1854,alcatel,Pop Star,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, September","Available. Released 2015, Q4",141 x 71.5 x 8.6 mm (5.55 x 2.81 x 0.34 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.4% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1855,alcatel,Go Play,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, September","Available. Released 2015, December",143.3 x 73.3 x 9.2 mm (5.64 x 2.89 x 0.36 in),-,Micro-SIM,"Capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~65.6% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1856,alcatel,Flash Plus,GSM / HSPA / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,Yes,Yes,"2015, May","Available. Released 2015, May",152.3 x 76.4 x 8 mm (6.00 x 3.01 x 0.31 in),147 g (5.19 oz),Dual SIM,"Capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~71.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1857,alcatel,Pop Astro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, April","Available. Released 2015, April",133.6 x 65.3 x 9.9 mm (5.26 x 2.57 x 0.39 in),144.9 g (5.11 oz),Micro-SIM,"TFT capacitive touchscreen, 16M colors","4.5 inches, 55.8 cm (~64.0% screen-to-body ratio)","540 x 960 pixels, 16:9 ratio (~245 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1858,alcatel,Flash,GSM / HSPA,GSM 900 / 1800 / 1900,Yes,Yes,"2014, September","Available. Released 2014, September",152.1 x 76.2 x 8.1 mm (5.99 x 3.00 x 0.32 in),-,Micro-SIM,"Capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1859,alcatel,Idol 3 (5.5),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, March","Available. Released 2015, June",152.7 x 75.1 x 7.4 mm (6.01 x 2.96 x 0.29 in),141 g (4.97 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",,"microSD, up to 256 GB (dedicated slot) - single-SIM model"
1860,alcatel,Idol 3 (4.7),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, March","Available. Released 2015, June",134.6 x 65.9 x 7.6 mm (5.30 x 2.59 x 0.30 in),110 g (3.88 oz),"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm (~68.7% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~312 ppi density)",,"microSD, up to 256 GB (dedicated slot) - single-SIM model"
1861,alcatel,Orange Klif,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (optional),Yes,Yes,"2015, March","Available. Released 2015, May",112.2 x 62 x 11.9 mm (4.42 x 2.44 x 0.47 in),-,Dual SIM,"TFT capacitive touchscreen, 256K colors","3.5 inches, 36.5 cm (~52.4% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1862,alcatel,Pixi 3 (5.5) LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, October",-,-,Micro-SIM,"TFT capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","720 x 1280 pixels, 16:9 ratio (~267 ppi density)",,"microSD, up to 256 GB (dedicated slot)"
1863,alcatel,Pixi 3 (5.5),GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, October",-,-,Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm","540 x 960 pixels, 16:9 ratio (~200 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1864,alcatel,Pixi 3 (8) 3G,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2014, August",209 x 124 x 9.2 mm (8.23 x 4.88 x 0.36 in),335 g (11.82 oz),Micro-SIM,TFT capacitive touchscreen,"8.0 inches, 185.6 cm (~71.6% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1865,alcatel,Pixi 3 (7) LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, August",191 x 109 x 9.2 mm (7.52 x 4.29 x 0.36 in),260 g (9.17 oz),Micro-SIM,TFT capacitive touchscreen,"7.0 inches, 137.9 cm (~66.2% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1866,alcatel,Pixi 3 (7) 3G,GSM / HSPA,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, March","Available. Released 2015, May",189 x 111 x 9.1 mm (7.44 x 4.37 x 0.36 in),260 g (9.17 oz),Micro-SIM,TFT capacitive touchscreen,"7.0 inches, 137.9 cm (~65.7% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1867,alcatel,Pixi 3 (7),No cellular connectivity,,No,No,"2015, March","Available. Released 2015, June",189 x 111 x 9.1 mm (7.44 x 4.37 x 0.36 in),260 g (9.17 oz),No,TFT capacitive touchscreen,"7.0 inches, 137.9 cm (~65.7% screen-to-body ratio)","600 x 1024 pixels, 16:9 ratio (~170 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1868,alcatel,Pop 10,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900,Yes,Yes,"2015, January","Available. Released 2015, April",245.2 x 146.4 x 7.9 mm (9.65 x 5.76 x 0.31 in),380 g (13.40 oz),Micro-SIM,"IPS LCD capacitive touchscreen, 16M colors","9.6 inches, 267.2 cm (~74.4% screen-to-body ratio)","800 x 1280 pixels, 16:10 ratio (~157 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
1869,alcatel,Pixi 3 (5),GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),Yes,Yes,"2015, January","Available. Released 2015, August",141 x 71.5 x 10 mm (5.55 x 2.81 x 0.39 in),-,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm (~68.3% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",,"microSD, up to 32 GB (dedicated slot)"
