,Name,Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,Genus,Species,Population size,Life span,Top speed,Weight,Height,Length
8910,Flat worm lizard,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Trogonophidae,Agamodon,Agamodon compressus,,,,,,
8911,Liolaemus lutzae,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Liolaemidae,Liolaemus,Liolaemus lutzae,,,,,,
8912,Olive marsh snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Natricidae,Natriciteres,Natriciteres olivacea,,,,,,
8913,Leeward island racer,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Dipsadidae,Alsophis,Alsophis rijgersmaei,,,,,,
8914,Plectrurus guentheri,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Uropeltidae,Plectrurus,Plectrurus guentheri,,,,,,
8915,Sekukhune flat lizard,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Cordylidae,Platysaurus,Platysaurus orientalis,,,,,,
8916,Dendrelaphis sinharajensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Dendrelaphis,Dendrelaphis effrenis,,,,,,
8917,Pseudocalotes austeniana,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Pseudocalotes,Pseudocalotes austeniana,,,,,,
8918,Bothrops osbornei,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,Bothrops,Bothrops osbornei,,,,,,60-130 cm
8919,Chalcides ebneri,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Chalcides,Chalcides ebneri,,,,,,
8920,Kinyongia carpenteri,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Chamaeleonidae,Kinyongia,Kinyongia carpenteri,,,,,,
8921,Phelsuma breviceps,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Phelsuma,Phelsuma breviceps,,,,,,
8922,Ptyctolaemus gularis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Ptyctolaemus,Ptyctolaemus gularis,,,,,,
8923,Cyrtodactylus nebulosus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Cyrtodactylus,Cyrtodactylus nebulosus,,,,,,
8924,Gehyra australis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Gehyra,Gehyra australis,,,,,,
8925,Imantodes lentiferus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Dipsadidae,Imantodes,Imantodes lentiferus,,,,,,
8926,Dipsas gracilis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Dipsadidae,Dipsas,Dipsas gracilis,,,,,,
8927,Juventud least gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus oliveri,,,,,,
8928,Cadea palirostrata,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Cadeidae,Cadea,Cadea palirostrata,,,,,,
8929,Liopeltis stoliczkae,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Liopeltis,Liopeltis stoliczkae,,,,,,
8930,Lycodon butleri,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Lycodon,Lycodon butleri,,,,,,
8931,Oligodon venustus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Oligodon,Oligodon venustus,,,,,,
8932,Spotted sea snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Elapidae,Hydrophis,Hydrophis ocellatus,,,,,,
8933,Tropidophis paucisquamis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Tropidophiidae,Tropidophis,Tropidophis paucisquanis,,,,,,
8934,Holaspis guentheri,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Holaspis,Holaspis guentheri,,,,,,
8935,Arrowback tree snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Boiga,Boiga gocool,,,,,,
8936,Tupinambis cuzcoensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Tupinambis,Tupinambis cuzcoensis,,,,,,
8937,Polychrus liogaster,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Polychrotidae,Polychrus,Polychrus liogaster,,,,,,
8938,Eutropis beddomei,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Eutropis,Eutropis beddomei,,,,,,
8939,Trachischium laeve,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Trachischium,Trachischium laeve,,,,,,
8940,Barkudia melanosticta,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Barkudia,Barkudia melanosticta,,,,,,
8941,Darevskia bendimahiensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Darevskia,Darevskia bendimahiensis,,,,,,
8942,Darevskia valentini,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Darevskia,Darevskia valentini,,,,,,
8943,Flat-tailed day gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Phelsuma,Phelsuma serraticauda,,,,,,
8944,Epictia albifrons,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Leptotyphlopidae,Epictia,Epictia albifrons,,,,,,
8945,Bezy's night lizard,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Xantusiidae,Xantusia,Xantusia bezyi,,,,,,
8946,Graciliscincus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Graciliscincus,Graciliscincus shonae,,,,,,
8947,Harrisoniascincus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Harrisoniascincus,Harrisoniascincus zia,,,,,,
8948,Natal pygmy gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Coleodactylus,Coleodactylus natalensis,,,,,,
8949,Patternless delma,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Pygopodidae,Delma,Delma inornata,,,,,,
8950,TerreNueve least gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus sommeri,,,,,,
8951,Phelsuma kely,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Phelsuma,Phelsuma kely,,,,,,
8952,Atractaspis coalescens,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Lamprophiidae,Atractaspis,Atractaspis coalescens,,,,,,
8953,Boiga quincunciata,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Boiga,Boiga quincunciata,,,,,,
8954,Assam keelback,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Herpetoreas,Herpetoreas pealii,,,,,,
8955,Diporiphora winneckei,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Diporiphora,Diporiphora winneckei,,,,,,
8956,Dubious dtella,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Gehyra,Gehyra dubia,,,,,,
8957,Micrelaps boettgeri,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Atractaspididae,Micrelaps,Micrelaps boettgeri,,,,,,
8958,Liolaemus leopardinus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Liolaemidae,Liolaemus,Liolaemus leopardinus,,,,,,
8959,Philochortus neumanni,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Philochortus,Philochortus neumanni,,,,,,
8960,Uroplatus finiavana,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Uroplatus,Uroplatus finiavana,,,,,,
8961,Yunnan keelback,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Hebius,Hebius parallelum,,,,,,
8962,Protobothrops jerdonii bourreti,Protobothrops jerdonii,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,,,,,,
8963,Grand skink,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Oligosoma,Oligosoma grande,,,,,,
8964,Proctoporus xestus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gymnophthalmidae,Proctoporus,Proctoporus xestus,,,,,,
8965,Atractaspis congica,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Lamprophiidae,Atractaspis,Atractaspis congica,,,,,,
8966,Laudakia agrorensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Laudakia,Laudakia agrorensis,,,,,,
8967,Mussau Island blue-tailed monitor,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Varanidae,Varanus,Varanus semotus,,,,,,
8968,Lycodon gammiei,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Lycodon,Lycodon gammiei,,,,,,
8969,Lytorhynchus paradoxus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Lytorhynchus,Lytorhynchus paradoxus,,,,,,
8970,Calamaria griswoldi,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Calamariidae,Calamaria,Calamaria griswoldi,,,,,,
8971,Calamaria yunnanensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Calamariidae,Calamaria,Calamaria yunnanensis,,,,,,
8972,Darlington's least gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus darlingtoni,,,,,,
8973,Leiocephalus loxogrammus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Tropiduridae,Leiocephalus,Leiocephalus loxogrammus,,,,,,
8974,Oligodon brevicauda,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Oligodon,Oligodon brevicauda,,,,,,
8975,Pachydactylus vansoni,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Pachydactylus,Pachydactylus vansoni,,,,,,
8976,Pedioplanis breviceps,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Pedioplanis,Pedioplanis breviceps,,,,,,
8977,Phelsuma parkeri,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Phelsuma,Phelsuma parkeri,,,,,,
8978,Trachischium monticola,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Trachischium,Trachischium monticola,,,,,,
8979,Uropeltis phipsonii,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Uropeltidae,Uropeltis,Uropeltis phipsonii,,,,,,
8980,Anatololacerta pelasgiana,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Anatololacerta,Anatololacerta pelasgiana,,,,,,
8981,Ablepharus darvazi,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Ablepharus,Ablepharus darvazi,,,,,,
8982,Amphisbaena myersi,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Amphisbaenidae,Amphisbaena,Amphisbaena myersi,,,,,,
8983,Amalosia rhombifer,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Diplodactylidae,Amalosia,Amalosia rhombifer,,,,,,
8984,Andrea's keelback,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Hebius,Hebius andreae,,,,,,
8985,Contomastix vittata,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Contomastix,Contomastix vittata,,,,,,
8986,Atractus flammigerus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Dipsadidae,Atractus,Atractus flammigerus,,,,,,
8987,Darevskia brauneri,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Darevskia,Darevskia brauneri,,,,,,
8988,Julia's ground snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Dipsadidae,Erythrolamprus,Erythrolamprus juliae,,,,,,
8989,Parastenophis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Pseudoxyrhophiidae,Parastenophis,Parastenophis betsileanus,,,,,,
8990,Sphaerodactylus savagei,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus savagei,,,,,,
8991,Laudakia melanura,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Laudakia,Laudakia melanura,,,,,,
8992,Eirenis persicus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Eirenis,Eirenis persicus,,,,,,
8993,Crotaphopeltis barotseensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Crotaphopeltis,Crotaphopeltis barotseensis,,,,,,
8994,Eritrean blind snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Typhlopidae,Letheobia,Letheobia erythraea,,,,,,
8995,Ctenosaura nolascensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Iguanidae,Ctenosaura,Ctenosaura nolascensis,,,,,,
8996,Hebius bitaeniatum,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Hebius,Hebius bitaeniatum,,,,,,
8997,Jamaican sharpnosed sphaero,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus oxyrhinus,,,,,,
8998,Kinyongia tenuis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Chamaeleonidae,Kinyongia,Kinyongia tenuis,,,,,,
8999,Wiegmann's striped gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Gonatodes,Gonatodes vittatus,,,,,,
9000,Crotaphopeltis degeni,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Crotaphopeltis,Crotaphopeltis degeni,,,,,,
9001,Coryphophylax subcristatus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Coryphophylax,Coryphophylax subcristatus,,,,,,
9002,Ceratophora erdeleni,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Ceratophora,Ceratophora erdeleni,,,,,,
9003,Takydromus albomaculosus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Takydromus,Takydromus albomaculosus,,,,,,
9004,Anatololacerta budaki,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Anatololacerta,Anatololacerta budaki,,,,,,
9005,Phelsuma sundbergi ladiguensis,Phelsuma sundbergi,,Animalia,Chordata,Vertebrata,,Reptilia,Squamata,Gekkonidae,,,,,,
9006,Lycodon mackinnoni,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Lycodon,Lycodon mackinnoni,,,,,,
9007,Amnesteophis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Dipsadidae,Amnesteophis,Amnesteophis melanauchen,,,,,,
9008,Eutropis bibronii,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Eutropis,Eutropis bibronii,,,,,,
9009,Aspidoscelis deppii,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Aspidoscelis,Aspidoscelis deppii,,,,,,
9010,Whitaker's skink,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Oligosoma,Oligosoma whitakeri,,,,,,
9011,Uroplatus malama,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Uroplatus,Uroplatus malama,,,,,,
9012,Tropidophorus assamensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Tropidophorus,Tropidophorus assamensis,,,,,,
9013,Atherton delma,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Pygopodidae,Delma,Delma mitella,,,,,,
9014,Brazilian blind snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Leptotyphlopidae,Trilepida,Trilepida brasiliensis,,,,,,
9015,Calamaria bicolor,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Calamariidae,Calamaria,Calamaria bicolor,,,,,,
9016,Calamodontophis paucidens,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Dipsadidae,Calamodontophis,Calamodontophis paucidens,,,,,,
9017,Chalcides pentadactylus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Chalcides,Chalcides pentadactylus,,,,,,
9018,Cnemidophorus rostralis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Cnemidophorus,Cnemidophorus rostralis,,,,,,
9019,Geophis anocularis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Dipsadidae,Geophis,Geophis anocularis,,,,,,
9020,Hemidactylus bouvieri,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Hemidactylus,Hemidactylus bouvieri,,,,,,
9021,Kolhapur day gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Cnemaspis,Cnemaspis kolhapurensis,,,,,,
9022,Lubuya,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Lubuya,Lubuya ivensii,,,,,,
9023,Oligodon theobaldi,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Oligodon,Oligodon theobaldi,,,,,,
9024,Ramsden's least gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus ramsdeni,,,,,,
9025,Sphaerodactylus altavelensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus altavelensis,,,,,,
9026,Striped Caribbean gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Aristelliger,Aristelliger barbouri,,,,,,
9027,Yellow-spotted agama,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Trapelus,Trapelus flavimaculatus,,,,,,
9028,Gastropholis echinata,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Gastropholis,Gastropholis echinata,,,,,,
9029,Ameiva fuliginosa,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Ameiva,Ameiva fuliginosa,,,,,,
9030,Amazon pigmy gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Pseudogonatodes,Pseudogonatodes guianensis,,,,,,
9031,Ameivula ocellifera,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Ameivula,Ameivula ocellifera,,,,,,
9032,Bedriaga's fringe-fingered lizard,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Acanthodactylus,Acanthodactylus bedriagai,,,,,,
9033,Censky's ameiva,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Pholidoscelis,Pholidoscelis corax,,,,,,
9034,Cnemidophorus arenivagus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Cnemidophorus,Cnemidophorus arenivagus,,,,,,
9035,Darevskia unisexualis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Darevskia,Darevskia unisexualis,,,,,,
9036,Darevskia caucasica,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Darevskia,Darevskia caucasica,,,,,,
9037,Eirenis medus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Eirenis,Eirenis medus,,,,,,
9038,Diploderma luei,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Diploderma,Diploderma luei,,,,,,
9039,Grenada worm snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Typhlopidae,Amerotyphlops,Amerotyphlops tasymicris,,,,,,
9040,Guatemalan helmeted basilisk,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Corytophanidae,Corytophanes,Corytophanes percarinatus,,,,,,
9041,Montivipera raddei albicornuta,Montivipera raddei,,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,,,,,,
9042,Tobago least gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus molei,,,,,,
9043,Ophisops elbaensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Ophisops,Ophisops elbaensis,,,,,,
9044,South American gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Gonatodes,Gonatodes eladioi,,,,,,
9045,Pseudocalotes microlepis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Pseudocalotes,Pseudocalotes microlepis,,,,,,
9046,African wall gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Phyllodactylidae,Tarentola,Tarentola ephippiata,,,,,,
9047,Takydromus amurensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Takydromus,Takydromus amurensis,,,,,,
9048,Tupinambis palustris,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Tupinambis,Tupinambis palustris,,,,,,
9049,Ameiva concolor,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Ameiva,Ameiva concolor,,,,,,
9050,Acontias gracilicauda,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Acontias,Acontias gracilicauda,,,,,,
9051,Aphaniotis ornata,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Aphaniotis,Aphaniotis ornata,,,,,,
9052,Bradypodion ventrale,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Chamaeleonidae,Bradypodion,Bradypodion ventrale,,,,,,
9053,Calamaria septentrionalis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Calamariidae,Calamaria,Calamaria septentrionalis,,,,,,
9054,Dendrelaphis grandoculis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Dendrelaphis,Dendrelaphis grandoculis,,,,,,
9055,Fraser's delma,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Pygopodidae,Delma,Delma fraseri,,,,,,
9056,Hypnale walli,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Viperidae,Hypnale,Hypnale walli,,,,,,
9057,Lepidoblepharis williamsi,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Lepidoblepharis,Lepidoblepharis williamsi,,,,,,
9058,Tropidophis pardalis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Tropidophiidae,Tropidophis,Tropidophis pardalis,,,,,,
9059,Telescopus tessellatus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Telescopus,Telescopus tessellatus,,,,,,
9060,Uropeltis broughami,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Uropeltidae,Uropeltis,Uropeltis broughami,,,,,,
9061,Large-eyed green tree snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Rhamnophis,Rhamnophis aethiopissa,,,,,,
9062,Atractaspis scorteccii,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Lamprophiidae,Atractaspis,Atractaspis scorteccii,,,,,,
9063,Ophisops kutchensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Ophisops,Ophisops kutchensis,,,,,,
9064,Ophisops pushkarensis,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Ophisops,Ophisops pushkarensis,,,,,,
9065,Phelsuma astriata astriata,Phelsuma astriata,,Animalia,Chordata,Vertebrata,,Reptilia,Squamata,Gekkonidae,,,,,,
9066,Trachylepis maculata,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Trachylepis,Trachylepis maculata,,,,,,
9067,Ameiva pantherina,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Ameiva,Ameiva pantherina,,,,,,
9068,Chalcides montanus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Chalcides,Chalcides montanus,,,,,,
9069,Darevskia raddei,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Darevskia,Darevskia raddei,,,,,,
9070,Eremias vermiculata,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Eremias,Eremias vermiculata,,,,,,
9071,Oligosoma gracilicorpus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Oligosoma,Oligosoma gracilicorpus,,,,,,
9072,Tropidosaura cottrelli,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Tropidosaura,Tropidosaura cottrelli,,,,,,
9073,Tupinambis quadrilineatus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Tupinambis,Tupinambis quadrilineatus,,,,,,
9074,Spatula-toothed snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Iguanognathus,Iguanognathus werneri,,,,,,
9075,Two-lined blind snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Leptotyphlopidae,Tetracheilostoma,Tetracheilostoma bilineatum,,,,,,
9076,Cnemaspis agarwali,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Cnemaspis,Cnemaspis agarwali,,,,,,
9077,Dominican slider,Central Antillean slider,,Animalia,Chordata,Vertebrata,Reptilia,Testudines,Cryptodira,Emydidae,,,,,,
9078,Anolis zapotecorum,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Dactyloidae,Anolis,Anolis zapotecorum,,,,,,
9079,Tupinambis longilineus,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Tupinambis,Tupinambis longilineus,,,,,,
9080,Aparallactus jacksonii,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Lamprophiidae,Aparallactus,Aparallactus jacksonii,,,,,,
9081,Mauritius upland forest day gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Gekkonidae,Phelsuma,Phelsuma rosagularis,,,,,,
9082,Ornate skink,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Scincidae,Oligosoma,Oligosoma ornata,,,,,,
9083,Atlas day gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Quedenfeldtia,Quedenfeldtia trachyblepharus,,,,,,
9084,Atlas dwarf lizard,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Lacertidae,Atlantolacerta,Atlantolacerta andreanskyi,,,,,,
9085,Dunn's spinytail lizard,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Hoplocercidae,Morunasaurus,Morunasaurus groi,,,,,,
9086,Canyon spotted whiptail,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Teiidae,Aspidoscelis,Aspidoscelis burti,,,,,,
9087,Fox's mountain meadow snake,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Natricidae,Adelophis,Adelophis foxi,,,,,,
9088,Gray gecko,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Sphaerodactylidae,Sphaerodactylus,Sphaerodactylus cinereus,,,,,,
9089,Hardwicke's bloodsucker,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Iguania,Agamidae,Calotes,Calotes minor,,,,,,
9090,Lucasium stenodactylum,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Diplodactylidae,Lucasium,Lucasium stenodactylum,,,,,,
9091,Hebius atemporale,Animalia,Chordata,Vertebrata,Reptilia,Squamata,Serpentes,Colubridae,Hebius,Hebius atemporale,,,,,,
9092,Rhadinaea taeniata,Animalia,Chordata,Vertebrata,Reptilia,Squamata,,Dipsadidae,Rhadinaea,Rhadinaea taeniata,,,,,,
